nu_cm-1,alpha
1912.250,1.009749e-06
1912.300,9.919124e-07
1912.350,1.008746e-06
1912.400,1.057123e-06
1912.450,1.142093e-06
1912.500,1.276525e-06
1912.550,1.485323e-06
1912.600,1.816566e-06
1912.650,2.369709e-06
1912.700,3.375846e-06
1912.750,5.475223e-06
1912.800,1.102017e-05
1912.850,3.472089e-05
1912.900,3.514714e-04
1912.950,6.842036e-05
1913.000,1.569272e-05
1913.050,6.876748e-06
1913.100,4.025673e-06
1913.150,3.545067e-06
1913.200,2.069996e-06
1913.250,1.523778e-06
1913.300,1.231391e-06
1913.350,1.040394e-06
1913.400,9.066727e-07
1913.450,8.090620e-07
1913.500,7.356474e-07
1913.550,6.791649e-07
1913.600,6.349474e-07
1913.650,5.998769e-07
1913.700,5.718054e-07
1913.750,5.492162e-07
1913.800,5.310168e-07
1913.850,5.164087e-07
1913.900,5.048024e-07
1913.950,4.957618e-07
1914.000,4.889662e-07
1914.050,4.841849e-07
1914.100,4.812608e-07
1914.150,4.800998e-07
1914.200,4.806657e-07
1914.250,4.829799e-07
1914.300,4.871249e-07
1914.350,4.932548e-07
1914.400,5.016125e-07
1914.450,5.125585e-07
1914.500,5.266162e-07
1914.550,5.445466e-07
1914.600,5.674703e-07
1914.650,5.970767e-07
1914.700,6.359979e-07
1914.750,6.885109e-07
1914.800,7.619501e-07
1914.850,8.697860e-07
1914.900,1.039078e-06
1914.950,1.331215e-06
1915.000,1.912064e-06
1915.050,3.372011e-06
1915.100,9.211569e-06
1915.150,8.013281e-05
1915.200,2.172324e-05
1915.250,8.840320e-06
1915.300,2.798788e-05
1915.350,4.438720e-06
1915.400,2.116596e-06
1915.450,1.495763e-06
1915.500,1.255074e-06
1915.550,1.148919e-06
1915.600,1.108634e-06
1915.650,1.108483e-06
1915.700,1.137812e-06
1915.750,1.192939e-06
1915.800,1.275005e-06
1915.850,1.394666e-06
1915.900,1.664238e-06
1915.950,1.744854e-06
1916.000,1.937942e-06
1916.050,2.240974e-06
1916.100,2.658482e-06
1916.150,3.260557e-06
1916.200,4.107270e-06
1916.250,5.320943e-06
1916.300,7.345956e-06
1916.350,1.099090e-05
1916.400,1.969835e-05
1916.450,3.582235e-05
1916.500,1.029755e-04
1916.550,8.737809e-04
1916.600,4.009447e-04
1916.650,7.270043e-05
1916.700,2.937285e-05
1916.750,1.773872e-05
1916.800,1.859581e-05
1916.850,2.070675e-05
1916.900,6.702237e-06
1916.950,4.445687e-06
1917.000,3.401491e-06
1917.050,2.762914e-06
1917.100,2.330132e-06
1917.150,2.021711e-06
1917.200,1.796044e-06
1917.250,1.629353e-06
1917.300,1.507395e-06
1917.350,1.421955e-06
1917.400,1.370031e-06
1917.450,1.358146e-06
1917.500,1.446729e-06
1917.550,2.443756e-06
1917.600,1.572669e-06
1917.650,1.530051e-06
1917.700,1.659037e-06
1917.750,1.894818e-06
1917.800,2.281736e-06
1917.850,2.932415e-06
1917.900,4.110263e-06
1917.950,6.530567e-06
1918.000,1.272178e-05
1918.050,3.725841e-05
1918.100,3.297140e-04
1918.150,1.097309e-04
1918.200,2.226772e-05
1918.250,9.312051e-06
1918.300,5.212816e-06
1918.350,3.415932e-06
1918.400,2.471737e-06
1918.450,1.914729e-06
1918.500,1.558692e-06
1918.550,1.317376e-06
1918.600,1.146403e-06
1918.650,1.021052e-06
1918.700,9.266711e-07
1918.750,8.541352e-07
1918.800,7.975299e-07
1918.850,7.528944e-07
1918.900,7.175080e-07
1918.950,6.894662e-07
1919.000,6.674215e-07
1919.050,6.504217e-07
1919.100,6.378069e-07
1919.150,6.291462e-07
1919.200,6.242017e-07
1919.250,6.229140e-07
1919.300,6.254078e-07
1919.350,6.320204e-07
1919.400,6.433605e-07
1919.450,6.604146e-07
1919.500,6.847307e-07
1919.550,7.187450e-07
1919.600,7.663776e-07
1919.650,8.341817e-07
1919.700,9.337172e-07
1919.750,1.086930e-06
1919.800,1.340258e-06
1919.850,1.817558e-06
1919.900,2.773766e-06
1919.950,5.525924e-06
1920.000,2.082907e-05
1920.050,9.986429e-05
1920.100,2.988342e-05
1920.150,6.945672e-06
1920.200,3.231490e-06
1920.250,2.034741e-06
1920.300,1.508889e-06
1920.350,1.237423e-06
1920.400,1.084158e-06
1920.450,9.939556e-07
1920.500,9.411555e-07
1920.550,9.126430e-07
1920.600,9.013282e-07
1920.650,9.034069e-07
1920.700,9.175214e-07
1920.750,9.484567e-07
1920.800,1.082805e-06
1920.850,1.024813e-06
1920.900,1.061699e-06
1920.950,1.121184e-06
1921.000,1.195845e-06
1921.050,1.287275e-06
1921.100,1.399129e-06
1921.150,1.536977e-06
1921.200,1.709223e-06
1921.250,1.929330e-06
1921.300,2.221758e-06
1921.350,2.643708e-06
1921.400,3.420910e-06
1921.450,7.214473e-06
1921.500,8.415881e-06
1921.550,6.130792e-06
1921.600,8.016916e-06
1921.650,1.475174e-05
1921.700,3.417686e-05
1921.750,2.453062e-05
1921.800,4.429047e-05
1921.850,1.217367e-04
1921.900,9.136943e-04
1921.950,6.189479e-04
