nu_cm-1,alpha_line1,alpha_line2,alpha_total,transmittance
7185.285,7.239607e-04,1.890252e-03,2.614213e-03,9.973892e-01
7185.286,7.286266e-04,1.902448e-03,2.631075e-03,9.973724e-01
7185.287,7.333378e-04,1.914762e-03,2.648100e-03,9.973554e-01
7185.288,7.380947e-04,1.927197e-03,2.665291e-03,9.973383e-01
7185.289,7.428981e-04,1.939752e-03,2.682650e-03,9.973209e-01
7185.290,7.477485e-04,1.952431e-03,2.700180e-03,9.973035e-01
7185.291,7.526466e-04,1.965235e-03,2.717882e-03,9.972858e-01
7185.292,7.575929e-04,1.978165e-03,2.735758e-03,9.972680e-01
7185.293,7.625881e-04,1.991223e-03,2.753811e-03,9.972500e-01
7185.294,7.676329e-04,2.004411e-03,2.772044e-03,9.972318e-01
7185.295,7.727279e-04,2.017731e-03,2.790459e-03,9.972134e-01
7185.296,7.778738e-04,2.031184e-03,2.809057e-03,9.971949e-01
7185.297,7.830712e-04,2.044771e-03,2.827843e-03,9.971762e-01
7185.298,7.883208e-04,2.058496e-03,2.846817e-03,9.971572e-01
7185.299,7.936234e-04,2.072359e-03,2.865983e-03,9.971381e-01
7185.300,7.989797e-04,2.086363e-03,2.885343e-03,9.971188e-01
7185.301,8.043904e-04,2.100510e-03,2.904900e-03,9.970993e-01
7185.302,8.098561e-04,2.114801e-03,2.924657e-03,9.970796e-01
7185.303,8.153778e-04,2.129238e-03,2.944616e-03,9.970597e-01
7185.304,8.209561e-04,2.143824e-03,2.964780e-03,9.970396e-01
7185.305,8.265918e-04,2.158560e-03,2.985152e-03,9.970193e-01
7185.306,8.322857e-04,2.173449e-03,3.005735e-03,9.969988e-01
7185.307,8.380387e-04,2.188492e-03,3.026531e-03,9.969780e-01
7185.308,8.438514e-04,2.203692e-03,3.047544e-03,9.969571e-01
7185.309,8.497249e-04,2.219051e-03,3.068776e-03,9.969359e-01
7185.310,8.556598e-04,2.234572e-03,3.090232e-03,9.969145e-01
7185.311,8.616571e-04,2.250256e-03,3.111913e-03,9.968929e-01
7185.312,8.677177e-04,2.266105e-03,3.133823e-03,9.968711e-01
7185.313,8.738424e-04,2.282123e-03,3.155965e-03,9.968490e-01
7185.314,8.800321e-04,2.298311e-03,3.178343e-03,9.968267e-01
7185.315,8.862878e-04,2.314673e-03,3.200960e-03,9.968042e-01
7185.316,8.926105e-04,2.331209e-03,3.223820e-03,9.967814e-01
7185.317,8.990009e-04,2.347924e-03,3.246925e-03,9.967583e-01
7185.318,9.054603e-04,2.364819e-03,3.270279e-03,9.967351e-01
7185.319,9.119894e-04,2.381897e-03,3.293886e-03,9.967115e-01
7185.320,9.185894e-04,2.399161e-03,3.317750e-03,9.966877e-01
7185.321,9.252613e-04,2.416613e-03,3.341875e-03,9.966637e-01
7185.322,9.320061e-04,2.434257e-03,3.366263e-03,9.966394e-01
7185.323,9.388249e-04,2.452095e-03,3.390919e-03,9.966148e-01
7185.324,9.457188e-04,2.470129e-03,3.415848e-03,9.965900e-01
7185.325,9.526888e-04,2.488363e-03,3.441052e-03,9.965649e-01
7185.326,9.597361e-04,2.506801e-03,3.466537e-03,9.965395e-01
7185.327,9.668619e-04,2.525443e-03,3.492305e-03,9.965138e-01
7185.328,9.740673e-04,2.544295e-03,3.518362e-03,9.964878e-01
7185.329,9.813535e-04,2.563359e-03,3.544712e-03,9.964616e-01
7185.330,9.887217e-04,2.582638e-03,3.571359e-03,9.964350e-01
7185.331,9.961732e-04,2.602135e-03,3.598308e-03,9.964082e-01
7185.332,1.003709e-03,2.621854e-03,3.625563e-03,9.963810e-01
7185.333,1.011331e-03,2.641798e-03,3.653129e-03,9.963535e-01
7185.334,1.019040e-03,2.661971e-03,3.681011e-03,9.963258e-01
7185.335,1.026837e-03,2.682376e-03,3.709213e-03,9.962977e-01
7185.336,1.034724e-03,2.703016e-03,3.737741e-03,9.962692e-01
7185.337,1.042702e-03,2.723896e-03,3.766599e-03,9.962405e-01
7185.338,1.050773e-03,2.745019e-03,3.795792e-03,9.962114e-01
