nu_cm-1,alpha
2044.245,0.000000e+00
2044.246,0.000000e+00
2044.247,0.000000e+00
2044.248,0.000000e+00
2044.249,0.000000e+00
2044.250,0.000000e+00
2044.251,0.000000e+00
2044.252,0.000000e+00
2044.253,0.000000e+00
2044.254,0.000000e+00
2044.255,0.000000e+00
2044.256,0.000000e+00
2044.257,0.000000e+00
2044.258,0.000000e+00
2044.259,0.000000e+00
2044.260,0.000000e+00
2044.261,0.000000e+00
2044.262,0.000000e+00
2044.263,0.000000e+00
2044.264,0.000000e+00
2044.265,0.000000e+00
2044.266,0.000000e+00
2044.267,0.000000e+00
2044.268,0.000000e+00
2044.269,0.000000e+00
2044.270,0.000000e+00
2044.271,0.000000e+00
2044.272,0.000000e+00
2044.273,0.000000e+00
2044.274,0.000000e+00
2044.275,0.000000e+00
2044.276,0.000000e+00
2044.277,0.000000e+00
2044.278,0.000000e+00
2044.279,0.000000e+00
2044.280,0.000000e+00
2044.281,0.000000e+00
2044.282,0.000000e+00
2044.283,0.000000e+00
2044.284,0.000000e+00
2044.285,0.000000e+00
2044.286,0.000000e+00
2044.287,0.000000e+00
2044.288,0.000000e+00
2044.289,0.000000e+00
2044.290,0.000000e+00
2044.291,0.000000e+00
2044.292,0.000000e+00
2044.293,0.000000e+00
2044.294,0.000000e+00
2044.295,0.000000e+00
2044.296,0.000000e+00
2044.297,0.000000e+00
2044.298,0.000000e+00
2044.299,0.000000e+00
2044.300,0.000000e+00
2044.301,0.000000e+00
2044.302,0.000000e+00
2044.303,0.000000e+00
2044.304,0.000000e+00
2044.305,0.000000e+00
2044.306,0.000000e+00
2044.307,0.000000e+00
2044.308,0.000000e+00
2044.309,0.000000e+00
2044.310,0.000000e+00
2044.311,0.000000e+00
2044.312,0.000000e+00
2044.313,0.000000e+00
2044.314,0.000000e+00
2044.315,0.000000e+00
2044.316,0.000000e+00
2044.317,0.000000e+00
2044.318,0.000000e+00
2044.319,0.000000e+00
2044.320,0.000000e+00
2044.321,0.000000e+00
2044.322,0.000000e+00
2044.323,0.000000e+00
2044.324,0.000000e+00
2044.325,0.000000e+00
2044.326,0.000000e+00
2044.327,0.000000e+00
2044.328,0.000000e+00
2044.329,0.000000e+00
2044.330,0.000000e+00
2044.331,0.000000e+00
2044.332,0.000000e+00
2044.333,0.000000e+00
2044.334,0.000000e+00
2044.335,0.000000e+00
2044.336,0.000000e+00
2044.337,0.000000e+00
2044.338,0.000000e+00
2044.339,0.000000e+00
2044.340,0.000000e+00
2044.341,0.000000e+00
2044.342,0.000000e+00
2044.343,0.000000e+00
2044.344,0.000000e+00
2044.345,0.000000e+00
2044.346,0.000000e+00
2044.347,0.000000e+00
2044.348,0.000000e+00
2044.349,0.000000e+00
2044.350,0.000000e+00
2044.351,0.000000e+00
2044.352,0.000000e+00
2044.353,0.000000e+00
2044.354,0.000000e+00
2044.355,0.000000e+00
2044.356,0.000000e+00
2044.357,0.000000e+00
2044.358,0.000000e+00
2044.359,0.000000e+00
2044.360,0.000000e+00
2044.361,0.000000e+00
2044.362,0.000000e+00
2044.363,0.000000e+00
2044.364,0.000000e+00
2044.365,0.000000e+00
2044.366,0.000000e+00
2044.367,0.000000e+00
2044.368,0.000000e+00
2044.369,0.000000e+00
2044.370,0.000000e+00
2044.371,0.000000e+00
2044.372,0.000000e+00
2044.373,0.000000e+00
2044.374,0.000000e+00
2044.375,0.000000e+00
2044.376,0.000000e+00
2044.377,0.000000e+00
2044.378,0.000000e+00
2044.379,0.000000e+00
2044.380,0.000000e+00
2044.381,0.000000e+00
2044.382,0.000000e+00
2044.383,4.436087e-05
2044.384,4.469416e-05
2044.385,4.503063e-05
2044.386,4.537032e-05
2044.387,4.571325e-05
2044.388,4.605946e-05
2044.389,4.640896e-05
2044.390,4.676181e-05
2044.391,4.711802e-05
2044.392,4.747762e-05
2044.393,4.784066e-05
2044.394,4.820715e-05
2044.395,4.857713e-05
2044.396,4.895063e-05
2044.397,4.932768e-05
2044.398,4.970832e-05
2044.399,5.009256e-05
2044.400,5.048046e-05
2044.401,5.087202e-05
2044.402,5.126730e-05
2044.403,5.166631e-05
2044.404,5.206908e-05
2044.405,5.247566e-05
2044.406,5.288606e-05
2044.407,5.330033e-05
2044.408,5.371848e-05
2044.409,5.414055e-05
2044.410,5.456656e-05
2044.411,5.499655e-05
2044.412,5.543055e-05
2044.413,5.586859e-05
2044.414,5.631068e-05
2044.415,5.675687e-05
2044.416,5.720718e-05
2044.417,5.766163e-05
2044.418,5.812026e-05
2044.419,5.858308e-05
2044.420,5.905013e-05
2044.421,5.952143e-05
2044.422,5.999700e-05
2044.423,6.047687e-05
2044.424,6.096106e-05
2044.425,6.144960e-05
2044.426,6.194250e-05
2044.427,6.243979e-05
2044.428,6.294149e-05
2044.429,6.344761e-05
2044.430,6.395818e-05
2044.431,6.447321e-05
2044.432,6.499271e-05
2044.433,6.551672e-05
2044.434,6.604522e-05
2044.435,6.657825e-05
2044.436,6.711582e-05
2044.437,6.765792e-05
2044.438,6.820457e-05
2044.439,6.875579e-05
2044.440,6.931157e-05
2044.441,6.987192e-05
2044.442,7.043684e-05
2044.443,7.100634e-05
2044.444,7.158040e-05
2044.445,7.215904e-05
2044.446,7.274225e-05
2044.447,7.333002e-05
2044.448,7.392233e-05
2044.449,7.451919e-05
2044.450,7.512058e-05
2044.451,7.572648e-05
2044.452,7.633687e-05
2044.453,7.695174e-05
2044.454,7.757107e-05
2044.455,7.819482e-05
2044.456,8.593668e-05
2044.457,8.662144e-05
2044.458,8.731102e-05
2044.459,8.800538e-05
2044.460,8.870450e-05
2044.461,8.940832e-05
2044.462,9.011681e-05
2044.463,9.082993e-05
2044.464,9.154762e-05
2044.465,9.226983e-05
2044.466,9.299651e-05
2044.467,9.372759e-05
2044.468,9.446301e-05
2044.469,9.520271e-05
2044.470,9.594661e-05
2044.471,9.669464e-05
2044.472,9.744670e-05
2044.473,9.820273e-05
2044.474,9.896263e-05
2044.475,9.972630e-05
2044.476,1.004937e-04
2044.477,1.012646e-04
2044.478,1.020390e-04
2044.479,1.028167e-04
2044.480,1.035977e-04
2044.481,1.043817e-04
2044.482,1.051688e-04
2044.483,1.059587e-04
2044.484,1.067513e-04
2044.485,1.075464e-04
2044.486,1.083440e-04
2044.487,1.091438e-04
2044.488,1.099457e-04
2044.489,1.107495e-04
2044.490,1.115551e-04
2044.491,1.123622e-04
2044.492,1.131707e-04
2044.493,1.139803e-04
2044.494,1.147910e-04
2044.495,1.156024e-04
2044.496,1.164144e-04
2044.497,1.172268e-04
2044.498,1.180392e-04
2044.499,1.188516e-04
2044.500,1.196637e-04
2044.501,1.204751e-04
2044.502,1.212858e-04
2044.503,1.220954e-04
2044.504,1.229036e-04
2044.505,1.237102e-04
2044.506,1.245150e-04
2044.507,1.253176e-04
2044.508,1.261178e-04
2044.509,1.269153e-04
2044.510,1.277098e-04
2044.511,1.285009e-04
2044.512,1.292885e-04
2044.513,1.300722e-04
2044.514,1.308516e-04
2044.515,1.316265e-04
2044.516,1.323965e-04
2044.517,1.331614e-04
2044.518,1.339208e-04
2044.519,1.346743e-04
2044.520,1.354216e-04
2044.521,1.361624e-04
2044.522,1.368964e-04
2044.523,1.376232e-04
2044.524,1.383425e-04
2044.525,1.390539e-04
2044.526,1.397570e-04
2044.527,1.404516e-04
2044.528,1.411373e-04
2044.529,1.418137e-04
2044.530,1.424805e-04
2044.531,1.431374e-04
2044.532,1.437839e-04
2044.533,1.444198e-04
2044.534,1.450447e-04
2044.535,1.456583e-04
2044.536,1.462603e-04
2044.537,1.468502e-04
2044.538,1.474279e-04
2044.539,1.479929e-04
2044.540,1.485449e-04
2044.541,1.490836e-04
2044.542,1.496088e-04
2044.543,1.501201e-04
2044.544,1.506172e-04
2044.545,1.510999e-04
2044.546,1.515678e-04
2044.547,1.520206e-04
2044.548,1.524582e-04
2044.549,1.528803e-04
2044.550,1.532865e-04
2044.551,1.536768e-04
2044.552,1.540507e-04
2044.553,1.544083e-04
2044.554,1.547491e-04
2044.555,1.550731e-04
2044.556,1.553800e-04
2044.557,1.556697e-04
2044.558,1.559420e-04
2044.559,1.561968e-04
2044.560,1.564339e-04
2044.561,1.566532e-04
2044.562,1.568547e-04
2044.563,1.570381e-04
2044.564,1.572034e-04
2044.565,1.573506e-04
2044.566,1.574796e-04
2044.567,1.575903e-04
2044.568,1.576827e-04
2044.569,1.577569e-04
2044.570,1.578127e-04
2044.571,1.578502e-04
2044.572,1.578694e-04
2044.573,1.578704e-04
2044.574,1.578532e-04
2044.575,1.578178e-04
2044.576,1.577644e-04
2044.577,1.576930e-04
2044.578,1.576037e-04
2044.579,1.574966e-04
2044.580,1.573719e-04
2044.581,1.572296e-04
2044.582,1.570700e-04
2044.583,1.568932e-04
2044.584,1.566992e-04
2044.585,1.564884e-04
2044.586,1.562610e-04
2044.587,1.560170e-04
2044.588,1.557566e-04
2044.589,1.554802e-04
2044.590,1.551880e-04
2044.591,1.548801e-04
2044.592,1.545567e-04
2044.593,1.542183e-04
2044.594,1.538649e-04
2044.595,1.534968e-04
2044.596,1.531143e-04
2044.597,1.527177e-04
2044.598,1.523072e-04
2044.599,1.518832e-04
2044.600,1.514458e-04
2044.601,1.509954e-04
2044.602,1.505323e-04
2044.603,1.500566e-04
2044.604,1.495689e-04
2044.605,1.490692e-04
2044.606,1.485580e-04
2044.607,1.480355e-04
2044.608,1.475020e-04
2044.609,1.469579e-04
